DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,20730.005859,-50.62
1,2,13106.388672,-47.21
1,4,8673.467773,-42.30
1,5,7726.796387,-40.38
1,8,6179.318848,-38.84
1,10,5715.032227,-37.62
1,16,4526.408203,-37.11
1,20,4026.825195,-37.50
1,25,3605.618164,-38.24
1,32,3188.040771,-39.31
1,40,2824.732666,-40.89
1,50,2436.837402,-43.73
1,80,1841.865601,-46.81
1,100,1567.040527,-49.06
1,125,1315.753418,-51.40
1,160,1069.168823,-53.78
1,200,864.814331,-56.07
1,250,683.362549,-58.94
1,400,474.543884,-58.49
1,500,383.899933,-59.33
1,625,309.124146,-59.93
1,800,247.422623,-60.36
1,1000,200.504684,-61.10
1,1250,163.584976,-61.78
1,2000,107.480850,-61.56
1,2500,88.606102,-61.19
1,3125,72.543564,-59.72
1,4000,59.675423,-59.64
1,5000,50.552689,-57.91
1,6250,42.628246,-56.28
1,10000,32.004524,-50.69
1,12500,28.010027,-47.63
1,15625,25.098320,-45.78
1,25000,19.703520,-37.83
1,50000,15.345364,-27.50
1,62500,14.607295,-25.24
1,80000,13.796258,-21.64
1,100000,13.448552,-19.65