Freq,Mag Ratio,Phase Offset
100000,1.064895497,-1.878
80000,0.9531019085,-3.228
62500,0.9731862762,-4.666
50000,0.9935023595,-5.610
25000,1.025356806,-5.168
15625,1.039179605,-3.680
12500,1.057113738,-3.364
10000,1.068176322,-2.988
6250,1.090880601,-2.320
5000,1.09035369,-1.512
4000,1.073729317,-1.494
3125,1.045926439,-1.700
2500,1.022939836,-1.470
2000,0.9273672412,-6.080
1250,0.8967494189,-6.626
1000,0.8753518714,-6.644
800,0.8687001584,-7.034
625,0.8342269837,-7.806
500,0.8079602779,-7.924
400,0.7775227195,-7.708
250,0.7142691478,-9.554
200,0.6994401691,-9.928
160,0.6484177794,-10.144
125,0.6238642559,-9.635
100,0.6141050602,-9.348
80,0.6043458646,-10.707
50,0.5607490098,-12.123
40,0.5372757668,-12.52
32,0.5103898079,-11.824
25,0.5019387705,-13.628
20,0.4930639856,-10.609
16,0.4650161118,-8.51
10,0.4872434324,-23.401
8,0.4131247418,-16.971
5,0.2633872508,-28.539
4,0.4306162933,-6.613
2,0.3787958698,-131.199
1,0.5628287913,-9.434